4049	110.2572	256
6098	126.0837	512
8147	142.9713	768
10196	160.9199	1024
12245	179.9295	1280
14294	200.0002	1536
16343	221.1318	1792.016
18392	243.3245	2049
20441	266.5782	2305
22490	290.8929	2561
24539	316.2686	2817
26588	342.7053	3073
28637	370.2031	3329
30686	398.7618	3585
32735	428.3816	3841.014
34784	459.0624	4098
36833	490.8042	4354
38882	523.6071	4610
40931	557.4709	4866
42980	592.3958	5122
45029	628.3816	5378
47078	665.4286	5634
49127	703.5365	5890.016
51176	742.7054	6147
53225	782.9354	6403
55274	824.2263	6659
57323	866.5783	6915
59372	909.9913	7171
61421	954.4653	7427
63470	1000	7683
65519	1046.596	7939.016
